"","Station.Name","Year","Month","Day","Mean.Temp","Total.Precip","Chron.Date","Days.Since.Origin"
"1","HAMILTON RBG CS",2011,1,1,5.9,7.5,01/01/11,0
"2","HAMILTON RBG CS",2011,1,2,-3.2,0,01/02/11,1
"3","HAMILTON RBG CS",2011,1,3,-2.9,0,01/03/11,2
"4","HAMILTON RBG CS",2011,1,4,-1.3,0.9,01/04/11,3
"5","HAMILTON RBG CS",2011,1,5,-5.6,0,01/05/11,4
"6","HAMILTON RBG CS",2011,1,6,-6.6,1.9,01/06/11,5
"7","HAMILTON RBG CS",2011,1,7,-7.2,0,01/07/11,6
"8","HAMILTON RBG CS",2011,1,8,-7.4,0.8,01/08/11,7
"9","HAMILTON RBG CS",2011,1,9,-7.8,0,01/09/11,8
"10","HAMILTON RBG CS",2011,1,10,-7.1,0,01/10/11,9
"11","HAMILTON RBG CS",2011,1,11,-5.6,2,01/11/11,10
"12","HAMILTON RBG CS",2011,1,12,-10,0.6,01/12/11,11
"13","HAMILTON RBG CS",2011,1,13,-10.1,0,01/13/11,12
"14","HAMILTON RBG CS",2011,1,14,-6.3,0,01/14/11,13
"15","HAMILTON RBG CS",2011,1,15,-4.7,4,01/15/11,14
"16","HAMILTON RBG CS",2011,1,16,-13.1,0,01/16/11,15
"17","HAMILTON RBG CS",2011,1,17,-14.7,0,01/17/11,16
"18","HAMILTON RBG CS",2011,1,18,-1.6,3.6,01/18/11,17
"19","HAMILTON RBG CS",2011,1,19,-5.7,0,01/19/11,18
"20","HAMILTON RBG CS",2011,1,20,-9.1,1.5,01/20/11,19
"21","HAMILTON RBG CS",2011,1,21,-10.2,1.4,01/21/11,20
"22","HAMILTON RBG CS",2011,1,22,-11.9,0,01/22/11,21
"23","HAMILTON RBG CS",2011,1,23,-15.8,0.6,01/23/11,22
"24","HAMILTON RBG CS",2011,1,24,-16.1,0.7,01/24/11,23
"25","HAMILTON RBG CS",2011,1,25,-3.6,0.7,01/25/11,24
"26","HAMILTON RBG CS",2011,1,26,-1.9,0,01/26/11,25
"27","HAMILTON RBG CS",2011,1,27,-1.9,0,01/27/11,26
"28","HAMILTON RBG CS",2011,1,28,-3.3,0,01/28/11,27
"29","HAMILTON RBG CS",2011,1,29,-6.6,0.7,01/29/11,28
"30","HAMILTON RBG CS",2011,1,30,-9.6,0,01/30/11,29
"31","HAMILTON RBG CS",2011,1,31,-14.1,0,01/31/11,30
"32","HAMILTON RBG CS",2011,2,1,-8,1.2,02/01/11,31
"33","HAMILTON RBG CS",2011,2,2,-9,7.1,02/02/11,32
"34","HAMILTON RBG CS",2011,2,3,-9.5,0.7,02/03/11,33
"35","HAMILTON RBG CS",2011,2,4,-5.7,0,02/04/11,34
"36","HAMILTON RBG CS",2011,2,5,-4,2.5,02/05/11,35
"37","HAMILTON RBG CS",2011,2,6,-1.6,0.7,02/06/11,36
"38","HAMILTON RBG CS",2011,2,7,-3.1,0.7,02/07/11,37
"39","HAMILTON RBG CS",2011,2,8,-10.9,0,02/08/11,38
"40","HAMILTON RBG CS",2011,2,9,-10.5,0,02/09/11,39
"41","HAMILTON RBG CS",2011,2,10,-12.7,0,02/10/11,40
"42","HAMILTON RBG CS",2011,2,11,-10.8,0,02/11/11,41
"43","HAMILTON RBG CS",2011,2,12,-4.5,1.4,02/12/11,42
"44","HAMILTON RBG CS",2011,2,13,1.1,0.8,02/13/11,43
"45","HAMILTON RBG CS",2011,2,14,-0.1,0,02/14/11,44
"46","HAMILTON RBG CS",2011,2,15,-8.9,0,02/15/11,45
"47","HAMILTON RBG CS",2011,2,16,-0.9,0,02/16/11,46
"48","HAMILTON RBG CS",2011,2,17,4.8,3.2,02/17/11,47
"49","HAMILTON RBG CS",2011,2,18,6.7,0,02/18/11,48
"50","HAMILTON RBG CS",2011,2,19,-2.2,0,02/19/11,49
"51","HAMILTON RBG CS",2011,2,20,-6.6,1.3,02/20/11,50
"52","HAMILTON RBG CS",2011,2,21,-7.3,0.9,02/21/11,51
"53","HAMILTON RBG CS",2011,2,22,-9.6,0,02/22/11,52
"54","HAMILTON RBG CS",2011,2,23,-8.1,0,02/23/11,53
"55","HAMILTON RBG CS",2011,2,24,-2.9,0.7,02/24/11,54
"56","HAMILTON RBG CS",2011,2,25,-3.5,2.3,02/25/11,55
"57","HAMILTON RBG CS",2011,2,26,-5.2,1.8,02/26/11,56
"58","HAMILTON RBG CS",2011,2,27,-0.5,0.7,02/27/11,57
"59","HAMILTON RBG CS",2011,2,28,0.1,18.3,02/28/11,58
"60","HAMILTON RBG CS",2011,3,1,-2.8,0,03/01/11,59
"61","HAMILTON RBG CS",2011,3,2,-4.8,0.7,03/02/11,60
"62","HAMILTON RBG CS",2011,3,3,-7.6,0,03/03/11,61
"63","HAMILTON RBG CS",2011,3,4,-0.9,1.4,03/04/11,62
"64","HAMILTON RBG CS",2011,3,5,3.3,25.2,03/05/11,63
"65","HAMILTON RBG CS",2011,3,6,-3.8,4,03/06/11,64
"66","HAMILTON RBG CS",2011,3,7,-5.9,0.6,03/07/11,65
"67","HAMILTON RBG CS",2011,3,8,-2.6,0,03/08/11,66
"68","HAMILTON RBG CS",2011,3,9,1.7,20.7,03/09/11,67
"69","HAMILTON RBG CS",2011,3,10,3.8,14.2,03/10/11,68
"70","HAMILTON RBG CS",2011,3,11,2.5,7.9,03/11/11,69
"71","HAMILTON RBG CS",2011,3,12,2.2,0.7,03/12/11,70
"72","HAMILTON RBG CS",2011,3,13,0.9,0,03/13/11,71
"73","HAMILTON RBG CS",2011,3,14,-0.6,0,03/14/11,72
"74","HAMILTON RBG CS",2011,3,15,-0.8,0.7,03/15/11,73
"75","HAMILTON RBG CS",2011,3,16,5.7,3.8,03/16/11,74
"76","HAMILTON RBG CS",2011,3,17,9,1.5,03/17/11,75
"77","HAMILTON RBG CS",2011,3,18,9.1,0.6,03/18/11,76
"78","HAMILTON RBG CS",2011,3,19,0.9,0,03/19/11,77
"79","HAMILTON RBG CS",2011,3,20,-1.8,0.6,03/20/11,78
"80","HAMILTON RBG CS",2011,3,21,5.9,7,03/21/11,79
"81","HAMILTON RBG CS",2011,3,22,3.8,0,03/22/11,80
"82","HAMILTON RBG CS",2011,3,23,-1.3,15.3,03/23/11,81
"83","HAMILTON RBG CS",2011,3,24,-4.6,0,03/24/11,82
"84","HAMILTON RBG CS",2011,3,25,-5.9,0,03/25/11,83
"85","HAMILTON RBG CS",2011,3,26,-6.5,0,03/26/11,84
"86","HAMILTON RBG CS",2011,3,27,-6,0,03/27/11,85
"87","HAMILTON RBG CS",2011,3,28,-4.1,0,03/28/11,86
"88","HAMILTON RBG CS",2011,3,29,-0.2,0,03/29/11,87
"89","HAMILTON RBG CS",2011,3,30,-0.4,0,03/30/11,88
"90","HAMILTON RBG CS",2011,3,31,1.7,1.6,03/31/11,89
"91","HAMILTON RBG CS",2011,4,1,5,0.8,04/01/11,90
"92","HAMILTON RBG CS",2011,4,2,4.8,0,04/02/11,91
"93","HAMILTON RBG CS",2011,4,3,4.9,5.8,04/03/11,92
"94","HAMILTON RBG CS",2011,4,4,10.8,12.5,04/04/11,93
"95","HAMILTON RBG CS",2011,4,5,3.2,0.6,04/05/11,94
"96","HAMILTON RBG CS",2011,4,6,2.1,0,04/06/11,95
"97","HAMILTON RBG CS",2011,4,7,2.7,0,04/07/11,96
"98","HAMILTON RBG CS",2011,4,8,3.2,0,04/08/11,97
"99","HAMILTON RBG CS",2011,4,9,4.2,0,04/09/11,98
"100","HAMILTON RBG CS",2011,4,10,14.4,4.1,04/10/11,99
"101","HAMILTON RBG CS",2011,4,11,14.6,1,04/11/11,100
