Simulation Iteration Time Var1 Var2 Var3 Var4
1.00000 0.00000 0.00000 100.000 100.000 100.000 100.000
2.00000 0.00000 0.00000 100.000 100.000 100.000 100.000
1.00000 1.00000 0.00260790 102.000 100.000 100.000 100.000
2.00000 1.00000 0.000394497 101.000 100.000 99.0000 100.000
1.00000 11.0000 0.0115813 110.000 100.000 100.000 100.000
2.00000 11.0000 0.0104572 111.000 100.000 99.0000 100.000
1.00000 21.0000 0.0191484 120.000 100.000 100.000 100.000
2.00000 21.0000 0.0273737 117.000 101.000 99.0000 100.000
1.00000 31.0000 0.0341446 130.000 100.000 100.000 100.000
2.00000 31.0000 0.0414172 126.000 101.000 98.0000 100.000
1.00000 41.0000 0.0467173 140.000 100.000 100.000 100.000
2.00000 41.0000 0.0550606 135.000 101.000 97.0000 100.000
1.00000 51.0000 0.0629015 150.000 100.000 100.000 100.000
2.00000 51.0000 0.0656839 143.000 102.000 97.0000 100.000
1.00000 61.0000 0.0728211 160.000 100.000 100.000 100.000
2.00000 61.0000 0.0797348 152.000 101.000 97.0000 100.000
1.00000 71.0000 0.0795997 170.000 100.000 100.000 100.000
2.00000 71.0000 0.0926812 160.000 100.000 97.0000 100.000
1.00000 81.0000 0.0924927 180.000 100.000 100.000 100.000
2.00000 81.0000 0.0998851 168.000 101.000 97.0000 100.000
1.00000 91.0000 0.110425 190.000 100.000 100.000 100.000
2.00000 91.0000 0.119935 178.000 101.000 97.0000 100.000
1.00000 101.000 0.119468 200.000 100.000 100.000 100.000
2.00000 101.000 0.134381 187.000 100.000 97.0000 100.000
1.00000 111.000 0.129835 209.000 100.000 99.0000 100.000
2.00000 111.000 0.148981 196.000 100.000 96.0000 100.000
1.00000 121.000 0.147075 217.000 99.0000 98.0000 100.000
2.00000 121.000 0.167792 206.000 100.000 96.0000 100.000
1.00000 131.000 0.161391 226.000 99.0000 97.0000 100.000
2.00000 131.000 0.182639 216.000 100.000 96.0000 100.000
1.00000 141.000 0.173974 236.000 99.0000 97.0000 100.000
2.00000 141.000 0.195643 226.000 100.000 96.0000 100.000
1.00000 151.000 0.181288 246.000 99.0000 97.0000 100.000
2.00000 151.000 0.208845 235.000 100.000 95.0000 101.000
1.00000 161.000 0.192910 256.000 99.0000 97.0000 100.000
2.00000 161.000 0.218729 245.000 100.000 95.0000 101.000
1.00000 171.000 0.210724 266.000 99.0000 97.0000 100.000
2.00000 171.000 0.231393 255.000 100.000 95.0000 101.000
1.00000 181.000 0.224459 276.000 99.0000 97.0000 100.000
2.00000 181.000 0.243094 265.000 100.000 95.0000 101.000
1.00000 191.000 0.235692 285.000 99.0000 97.0000 99.0000
2.00000 191.000 0.254462 275.000 100.000 95.0000 101.000
1.00000 201.000 0.245102 295.000 99.0000 97.0000 99.0000
2.00000 201.000 0.270948 285.000 100.000 95.0000 101.000
1.00000 211.000 0.258659 305.000 99.0000 97.0000 99.0000
2.00000 211.000 0.280262 294.000 100.000 94.0000 102.000
1.00000 221.000 0.273442 314.000 99.0000 97.0000 98.0000
2.00000 221.000 0.290532 304.000 100.000 94.0000 102.000
1.00000 231.000 0.289343 324.000 99.0000 97.0000 98.0000
2.00000 231.000 0.298475 314.000 100.000 94.0000 102.000
1.00000 241.000 0.310920 334.000 99.0000 97.0000 98.0000
2.00000 241.000 0.319887 324.000 100.000 94.0000 102.000
1.00000 251.000 0.322888 344.000 99.0000 97.0000 98.0000
2.00000 251.000 0.327617 331.000 101.000 93.0000 102.000
1.00000 261.000 0.337666 354.000 99.0000 97.0000 98.0000
2.00000 261.000 0.339603 340.000 101.000 93.0000 101.000
1.00000 271.000 0.346154 360.000 97.0000 97.0000 98.0000
2.00000 271.000 0.357828 350.000 101.000 93.0000 101.000
1.00000 281.000 0.361194 369.000 97.0000 96.0000 98.0000
2.00000 281.000 0.365118 358.000 101.000 93.0000 101.000
1.00000 291.000 0.372746 379.000 97.0000 96.0000 98.0000
2.00000 291.000 0.376494 366.000 102.000 93.0000 101.000
1.00000 301.000 0.381492 387.000 96.0000 95.0000 98.0000
2.00000 301.000 0.391227 374.000 102.000 93.0000 101.000
1.00000 311.000 0.388344 397.000 96.0000 95.0000 98.0000
2.00000 311.000 0.401426 384.000 102.000 93.0000 101.000
1.00000 321.000 0.401084 407.000 96.0000 95.0000 98.0000
2.00000 321.000 0.412079 394.000 102.000 93.0000 101.000
1.00000 331.000 0.416379 417.000 96.0000 95.0000 98.0000
2.00000 331.000 0.423742 404.000 102.000 93.0000 101.000
1.00000 341.000 0.429652 426.000 96.0000 94.0000 98.0000
2.00000 341.000 0.436500 414.000 102.000 93.0000 101.000
1.00000 351.000 0.440986 435.000 96.0000 94.0000 97.0000
2.00000 351.000 0.452633 422.000 101.000 92.0000 102.000
1.00000 361.000 0.448415 445.000 96.0000 94.0000 97.0000
2.00000 361.000 0.465291 431.000 101.000 91.0000 102.000
1.00000 371.000 0.461519 455.000 96.0000 94.0000 97.0000
2.00000 371.000 0.475996 440.000 101.000 90.0000 103.000
1.00000 381.000 0.474053 465.000 96.0000 94.0000 97.0000
2.00000 381.000 0.491517 449.000 101.000 90.0000 102.000
1.00000 391.000 0.482919 475.000 96.0000 94.0000 97.0000
2.00000 391.000 0.502595 459.000 101.000 90.0000 102.000
1.00000 401.000 0.494111 484.000 95.0000 94.0000 97.0000
2.00000 401.000 0.509974 469.000 101.000 90.0000 102.000
1.00000 411.000 0.499635 494.000 95.0000 94.0000 97.0000
2.00000 411.000 0.516879 478.000 101.000 89.0000 102.000
1.00000 421.000 0.511771 502.000 96.0000 94.0000 97.0000
2.00000 421.000 0.537344 488.000 101.000 89.0000 102.000
1.00000 431.000 0.523124 512.000 96.0000 94.0000 97.0000
2.00000 431.000 0.546795 498.000 101.000 89.0000 102.000
1.00000 441.000 0.548460 519.000 97.0000 94.0000 96.0000
2.00000 441.000 0.564655 506.000 102.000 89.0000 102.000
1.00000 451.000 0.559573 529.000 97.0000 94.0000 96.0000
2.00000 451.000 0.572087 515.000 102.000 88.0000 103.000
1.00000 461.000 0.572027 539.000 97.0000 94.0000 96.0000
2.00000 461.000 0.583853 523.000 103.000 88.0000 103.000
1.00000 471.000 0.583416 549.000 97.0000 94.0000 96.0000
2.00000 471.000 0.594657 533.000 103.000 88.0000 103.000
1.00000 481.000 0.598642 558.000 96.0000 94.0000 96.0000
2.00000 481.000 0.604834 543.000 103.000 88.0000 103.000
1.00000 491.000 0.613933 568.000 96.0000 94.0000 96.0000
2.00000 491.000 0.617677 553.000 103.000 88.0000 103.000
1.00000 501.000 0.627415 578.000 96.0000 94.0000 96.0000
2.00000 501.000 0.630002 561.000 103.000 86.0000 103.000
1.00000 511.000 0.645305 588.000 96.0000 94.0000 96.0000
2.00000 511.000 0.646972 570.000 103.000 86.0000 102.000
1.00000 521.000 0.654088 598.000 96.0000 94.0000 96.0000
2.00000 521.000 0.662006 579.000 103.000 85.0000 102.000
1.00000 531.000 0.665757 608.000 96.0000 94.0000 96.0000
2.00000 531.000 0.668006 589.000 103.000 85.0000 102.000
1.00000 541.000 0.678177 618.000 96.0000 94.0000 96.0000
2.00000 541.000 0.675966 599.000 103.000 85.0000 102.000
1.00000 551.000 0.692451 628.000 96.0000 94.0000 96.0000
2.00000 551.000 0.686282 609.000 103.000 85.0000 102.000
1.00000 561.000 0.702710 637.000 96.0000 93.0000 96.0000
2.00000 561.000 0.696227 619.000 103.000 85.0000 102.000
1.00000 571.000 0.720551 647.000 96.0000 93.0000 96.0000
2.00000 571.000 0.702203 629.000 103.000 85.0000 102.000
1.00000 581.000 0.732045 655.000 96.0000 93.0000 96.0000
2.00000 581.000 0.716029 639.000 103.000 85.0000 102.000
1.00000 591.000 0.749279 665.000 96.0000 93.0000 96.0000
2.00000 591.000 0.732201 646.000 103.000 84.0000 102.000
1.00000 601.000 0.763011 671.000 96.0000 93.0000 96.0000
2.00000 601.000 0.745249 656.000 103.000 84.0000 102.000
1.00000 611.000 0.775014 680.000 95.0000 93.0000 96.0000
2.00000 611.000 0.752909 666.000 103.000 84.0000 102.000
1.00000 621.000 0.784122 690.000 95.0000 93.0000 96.0000
2.00000 621.000 0.777420 676.000 103.000 84.0000 102.000
1.00000 631.000 0.797357 699.000 94.0000 93.0000 96.0000
2.00000 631.000 0.788626 684.000 103.000 82.0000 103.000
1.00000 641.000 0.807140 709.000 94.0000 93.0000 96.0000
2.00000 641.000 0.795926 693.000 102.000 82.0000 103.000
1.00000 651.000 0.823362 719.000 94.0000 93.0000 96.0000
2.00000 651.000 0.808220 703.000 102.000 82.0000 103.000
1.00000 661.000 0.832116 729.000 94.0000 93.0000 96.0000
2.00000 661.000 0.814956 713.000 102.000 82.0000 103.000
1.00000 671.000 0.843218 735.000 94.0000 93.0000 96.0000
2.00000 671.000 0.825672 723.000 102.000 82.0000 103.000
1.00000 681.000 0.853712 745.000 94.0000 93.0000 96.0000
2.00000 681.000 0.840466 731.000 102.000 82.0000 103.000
1.00000 691.000 0.867118 755.000 94.0000 93.0000 96.0000
2.00000 691.000 0.849685 741.000 102.000 82.0000 103.000
1.00000 701.000 0.884876 763.000 94.0000 93.0000 96.0000
2.00000 701.000 0.869166 751.000 102.000 82.0000 103.000
1.00000 711.000 0.899207 769.000 94.0000 93.0000 96.0000
2.00000 711.000 0.882706 761.000 102.000 82.0000 103.000
1.00000 721.000 0.910142 779.000 94.0000 93.0000 96.0000
2.00000 721.000 0.893751 771.000 102.000 82.0000 103.000
1.00000 731.000 0.919985 788.000 94.0000 92.0000 97.0000
2.00000 731.000 0.902954 780.000 101.000 82.0000 103.000
1.00000 741.000 0.931582 798.000 94.0000 92.0000 97.0000
2.00000 741.000 0.924892 790.000 101.000 82.0000 103.000
1.00000 751.000 0.948037 808.000 94.0000 92.0000 97.0000
2.00000 751.000 0.936306 800.000 101.000 82.0000 103.000
1.00000 761.000 0.963749 816.000 95.0000 92.0000 97.0000
2.00000 761.000 0.945501 810.000 101.000 82.0000 103.000
1.00000 771.000 0.979947 826.000 95.0000 92.0000 97.0000
2.00000 771.000 0.952171 819.000 101.000 81.0000 103.000
1.00000 781.000 0.996017 836.000 95.0000 92.0000 97.0000
2.00000 781.000 0.962951 825.000 102.000 81.0000 103.000
1.00000 791.000 1.01517 846.000 95.0000 92.0000 97.0000
2.00000 791.000 0.973946 835.000 102.000 81.0000 103.000
1.00000 801.000 1.02376 854.000 95.0000 92.0000 97.0000
2.00000 801.000 0.990356 845.000 102.000 81.0000 103.000
1.00000 811.000 1.03533 862.000 95.0000 92.0000 97.0000
2.00000 811.000 0.998282 855.000 102.000 81.0000 103.000
1.00000 821.000 1.05318 872.000 95.0000 92.0000 97.0000
2.00000 821.000 1.01319 865.000 102.000 81.0000 103.000
1.00000 831.000 1.06242 880.000 96.0000 92.0000 97.0000
2.00000 831.000 1.02666 875.000 102.000 81.0000 103.000
1.00000 841.000 1.07139 890.000 96.0000 92.0000 97.0000
2.00000 841.000 1.03594 883.000 103.000 81.0000 103.000
1.00000 851.000 1.09034 900.000 96.0000 92.0000 97.0000
2.00000 851.000 1.04961 893.000 103.000 81.0000 103.000
1.00000 861.000 1.10634 910.000 96.0000 92.0000 97.0000
2.00000 861.000 1.06269 903.000 103.000 81.0000 103.000
1.00000 871.000 1.11752 920.000 96.0000 92.0000 97.0000
2.00000 871.000 1.07456 912.000 103.000 80.0000 103.000
1.00000 881.000 1.12770 930.000 96.0000 92.0000 97.0000
2.00000 881.000 1.08126 922.000 103.000 80.0000 103.000
1.00000 891.000 1.14362 939.000 96.0000 91.0000 97.0000
2.00000 891.000 1.09315 932.000 103.000 80.0000 103.000
1.00000 901.000 1.15468 948.000 95.0000 91.0000 97.0000
2.00000 901.000 1.10223 942.000 103.000 80.0000 103.000
1.00000 911.000 1.16706 958.000 95.0000 91.0000 97.0000
2.00000 911.000 1.11306 952.000 103.000 80.0000 103.000
1.00000 921.000 1.18358 967.000 94.0000 91.0000 97.0000
2.00000 921.000 1.12676 958.000 102.000 79.0000 103.000
1.00000 931.000 1.19951 976.000 94.0000 90.0000 97.0000
2.00000 931.000 1.13725 967.000 102.000 78.0000 104.000
1.00000 941.000 1.21056 986.000 94.0000 90.0000 97.0000
2.00000 941.000 1.15497 977.000 102.000 78.0000 104.000
1.00000 951.000 1.21917 996.000 94.0000 90.0000 97.0000
2.00000 951.000 1.16284 985.000 102.000 78.0000 104.000
1.00000 961.000 1.22811 1005.00 93.0000 90.0000 97.0000
2.00000 961.000 1.17650 993.000 102.000 78.0000 104.000
1.00000 971.000 1.23568 1015.00 93.0000 90.0000 97.0000
2.00000 971.000 1.18908 1001.00 102.000 78.0000 104.000
1.00000 981.000 1.24895 1023.00 94.0000 90.0000 97.0000
2.00000 981.000 1.20170 1010.00 101.000 78.0000 104.000
1.00000 991.000 1.25478 1033.00 94.0000 90.0000 97.0000
2.00000 991.000 1.21531 1018.00 101.000 78.0000 104.000
1.00000 1001.00 1.26425 1043.00 94.0000 90.0000 97.0000
2.00000 1001.00 1.23288 1026.00 102.000 78.0000 104.000
1.00000 1011.00 1.28032 1053.00 94.0000 90.0000 97.0000
2.00000 1011.00 1.24784 1035.00 101.000 78.0000 104.000
1.00000 1021.00 1.29225 1063.00 94.0000 90.0000 97.0000
2.00000 1021.00 1.25738 1045.00 101.000 78.0000 104.000
1.00000 1031.00 1.30330 1073.00 94.0000 90.0000 97.0000
2.00000 1031.00 1.26416 1055.00 101.000 78.0000 104.000
1.00000 1041.00 1.32512 1082.00 93.0000 90.0000 97.0000
2.00000 1041.00 1.28031 1065.00 101.000 78.0000 104.000
1.00000 1051.00 1.33751 1091.00 92.0000 90.0000 97.0000
2.00000 1051.00 1.29288 1073.00 101.000 78.0000 104.000
1.00000 1061.00 1.35149 1101.00 92.0000 90.0000 97.0000
2.00000 1061.00 1.30169 1083.00 101.000 78.0000 104.000
1.00000 1071.00 1.36830 1111.00 92.0000 90.0000 97.0000
2.00000 1071.00 1.31334 1091.00 101.000 78.0000 104.000
1.00000 1081.00 1.38646 1119.00 92.0000 90.0000 97.0000
2.00000 1081.00 1.32068 1101.00 101.000 78.0000 104.000
1.00000 1091.00 1.39708 1129.00 92.0000 90.0000 97.0000
2.00000 1091.00 1.33633 1111.00 101.000 78.0000 104.000
1.00000 1101.00 1.41259 1138.00 92.0000 89.0000 98.0000
2.00000 1101.00 1.34902 1119.00 102.000 78.0000 104.000
1.00000 1111.00 1.42674 1146.00 92.0000 88.0000 98.0000
2.00000 1111.00 1.37465 1129.00 102.000 78.0000 104.000
1.00000 1121.00 1.43399 1156.00 92.0000 88.0000 98.0000
2.00000 1121.00 1.39232 1139.00 102.000 78.0000 104.000
1.00000 1131.00 1.44995 1166.00 92.0000 88.0000 98.0000
2.00000 1131.00 1.40133 1149.00 102.000 78.0000 104.000
1.00000 1141.00 1.46209 1175.00 92.0000 87.0000 98.0000
2.00000 1141.00 1.41050 1157.00 101.000 77.0000 104.000
1.00000 1151.00 1.47835 1184.00 91.0000 87.0000 98.0000
2.00000 1151.00 1.41826 1167.00 101.000 77.0000 104.000
1.00000 1161.00 1.49205 1194.00 91.0000 87.0000 98.0000
2.00000 1161.00 1.43011 1177.00 101.000 77.0000 104.000
1.00000 1171.00 1.50759 1203.00 91.0000 87.0000 97.0000
2.00000 1171.00 1.44129 1185.00 101.000 77.0000 104.000
1.00000 1181.00 1.51457 1213.00 91.0000 87.0000 97.0000
2.00000 1181.00 1.45105 1195.00 101.000 77.0000 104.000
1.00000 1191.00 1.52930 1223.00 91.0000 87.0000 97.0000
2.00000 1191.00 1.45965 1205.00 101.000 77.0000 104.000
1.00000 1201.00 1.54130 1233.00 91.0000 87.0000 97.0000
2.00000 1201.00 1.47476 1215.00 101.000 77.0000 104.000
1.00000 1211.00 1.54906 1243.00 91.0000 87.0000 97.0000
2.00000 1211.00 1.48178 1225.00 101.000 77.0000 104.000
1.00000 1221.00 1.55403 1253.00 91.0000 87.0000 97.0000
2.00000 1221.00 1.49550 1235.00 101.000 77.0000 104.000
1.00000 1231.00 1.56468 1263.00 91.0000 87.0000 97.0000
2.00000 1231.00 1.51209 1243.00 101.000 77.0000 104.000
1.00000 1241.00 1.57807 1273.00 91.0000 87.0000 97.0000
2.00000 1241.00 1.52605 1253.00 101.000 77.0000 104.000
1.00000 1251.00 1.59233 1283.00 91.0000 87.0000 97.0000
2.00000 1251.00 1.53684 1263.00 101.000 77.0000 104.000
1.00000 1261.00 1.60718 1290.00 91.0000 86.0000 98.0000
2.00000 1261.00 1.54208 1273.00 101.000 77.0000 104.000
1.00000 1271.00 1.61991 1300.00 91.0000 86.0000 98.0000
2.00000 1271.00 1.55918 1283.00 101.000 77.0000 104.000
1.00000 1281.00 1.63408 1310.00 91.0000 86.0000 98.0000
2.00000 1281.00 1.57657 1293.00 101.000 77.0000 104.000
1.00000 1291.00 1.64663 1319.00 91.0000 85.0000 98.0000
2.00000 1291.00 1.59258 1303.00 101.000 77.0000 104.000
